Identifier,Digikey Part Number,Quantity
U1,MCP7940MT-I/SNCT-ND,1
U2,568-10437-5-ND,1
U3,768-1135-1-ND,1
U4,MCP9808T-E/MSCT-ND,1
U5,751-VEML7700-TTCT-ND,1
U6...U11,296-41686-1-ND,6
VR1,LM3940IMP-3.3/NOPBCT-ND,1
Q1,FDS6679AZCT-ND,1
"C1, C5",490-9961-1-ND,2
"C2,C3,C4,C10,C11",1276-1029-1-ND,5
"C6, C7",311-1102-1-ND,2
"C8, C9",311-1107-1-ND,2
C12...C21,311-1140-1-ND,10
"D1, D2",SL44-E3/57TGICT-ND,2
"D3, D4, D5, D6",475-LSR976-NR-1CT-ND,4
D7...D150,754-APTD3216SECCT-ND,144
F1,F2110CT-ND,1
J1,CP-002AH-ND,1
J2,732-5317-ND,1
R1...R7,RR12P10.0KDCT-ND,7
"R8, R9, R20...R28",311-27.0CRCT-ND,11
R10...R13,311-165CRCT-ND,4
R14...R19,311-2.49KCRCT-ND,6
S1,401-2002-1-ND,1
"SW1, SW2, SW3, SW4",EG5353CT-ND,4
TP1...TP7,952-1478-1-ND,8
X1,ED2983-ND,1
Y1,50-ECX-.327-CDX-1293CT-ND,1
